Title,Link,Sentiment
Streamer Dr Disrespect axed by his gaming company,,0.0
,,0.0
Einstein atomic bomb letter to be auctioned,,0.0
The robots hunting Nazi-era bombs in the sea,,0.0
,,0.0
VW to invest up to $5bn in Tesla rival Rivian,,0.0
Why are the Boeing Starliner astronauts still in space?,,0.0
World's biggest music labels sue over AI copyright,,0.0
Tech Decoded: Sign up to our newsletter,,0.0
Tackling US gun violence as a public health crisis â€“ will it help?,,0.0
New mpox strain in DR Congo 'most dangerous yet',,0.012121212121212125
Heat and strikes piling pressure on NHS - bosses,,0.0
Faces made of living skin make robots smile,,0.3
The reason sharks attack humans,,0.0
Is the capsaicin in chilli peppers poisonous?,,0.0
The deafening noise harming children,,0.0
Why do we love ugly animals?,,-0.09999999999999998
How the Moon is making days longer on Earth,,0.0
Why do people persecute city pigeons?,,0.0
